Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,30/12/2020,Juros Sobre Capital Próprio,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,12 "," R$0,40 "
Credito,30/12/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,42 "," R$1,42 "
Debito,30/12/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,42 "," R$1,42 "
Credito,29/12/2020,Dividendo,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$1,56 "," R$4,68 "
Credito,29/12/2020,Juros Sobre Capital Próprio - Transferido,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,46 "," R$1,17 "
Debito,29/12/2020,Juros Sobre Capital Próprio - Transferido,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,46 "," R$1,17 "
Credito,29/12/2020,Atualização,VVAR3 - VIA VAREJO S.A.,NU INVEST CORRETORA DE VALORES S.A.,7, - , - 
Credito,23/12/2020,Juros Sobre Capital Próprio,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,30 "," R$0,25 "
Credito,23/12/2020,Dividendo,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,23 "," R$0,23 "
Credito,23/12/2020,Juros Sobre Capital Próprio - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,17 "," R$0,58 "
Debito,23/12/2020,Juros Sobre Capital Próprio - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,17 "," R$0,58 "
