Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,10/12/2021,Transferência - Liquidação,NUBR33 - NU HOLDINGS LTD.,NU INVEST CORRETORA DE VALORES S.A.,358," R$8,36 "," R$2992,88 "
Credito,10/12/2021,Leilão de Fração,XPBR31 - XP INC,NU INVEST CORRETORA DE VALORES S.A.,0," R$166,37 "," R$15,30 "
Credito,17/11/2021,Transferência - Liquidação,"NFLX34 - NETFLIX, INC.",NU INVEST CORRETORA DE VALORES S.A.,7," R$73,92 "," R$517,44 "
Credito,17/11/2021,Transferência - Liquidação,TSLA34 - TESLA INC   ,NU INVEST CORRETORA DE VALORES S.A.,2," R$174,82 "," R$349,64 "
Credito,01/11/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/11/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,28/10/2021,Transferência - Liquidação,BOVA11 - ISHARES IBOVESPA FUNDO DE INDICE,NU INVEST CORRETORA DE VALORES S.A.,1," R$103,24 "," R$103,24 "
Debito,28/10/2021,Venda,Tesouro IPCA+ 2035,NU INVEST CORRETORA DE VALORES S.A.,"0,5"," R$1.785,87 "," R$892,94 "
Credito,28/10/2021,Transferência - Liquidação,TSLA34 - TESLA INC   ,NU INVEST CORRETORA DE VALORES S.A.,5," R$186,81 "," R$934,05 "
Debito,27/10/2021,Transferência - Liquidação,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$78,11 "," R$78,11 "
Debito,27/10/2021,Transferência - Liquidação,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$29,14 "," R$116,56 "
Debito,27/10/2021,Transferência - Liquidação,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$20,52 "," R$82,08 "
Debito,27/10/2021,Transferência - Liquidação,BOVA11 - ISHARES IBOVESPA FUNDO DE INDICE,NU INVEST CORRETORA DE VALORES S.A.,1," R$103,74 "," R$103,74 "
Debito,27/10/2021,Transferência - Liquidação,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$23,54 "," R$94,16 "
Debito,26/10/2021,Venda,Tesouro Selic 2025,NU INVEST CORRETORA DE VALORES S.A.,"0,09"," R$11.015,15 "," R$991,36 "
Debito,18/10/2021,Fração em Ativos,XPBR31 - XP INC,NU INVEST CORRETORA DE VALORES S.A.,0, - , -
Debito,15/10/2021,Transferência - Liquidação,SANB4 - BANCO SANTANDER (BRASIL) S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$19,12 "," R$76,48 "
Credito,05/10/2021,Cisão,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,05/10/2021,Cisão,XPAR4 - XINGUARA INDUSTRIA E COMERCIO S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,05/10/2021,Incorporação,XPBR31 - XP INC,NU INVEST CORRETORA DE VALORES S.A.,"0,09", - , -
Credito,01/10/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/10/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,30/09/2021,Juros Sobre Capital Próprio,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,18 "," R$0,63 "
Debito,09/09/2021,Transferência - Liquidação,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$18,99 "," R$56,97 "
Debito,09/09/2021,Transferência - Liquidação,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$27,29 "," R$109,16 "
Debito,09/09/2021,Transferência - Liquidação,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$5,15 "," R$15,45 "
Debito,09/09/2021,Transferência - Liquidação,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$117,98 "," R$117,98 "
Debito,09/09/2021,Transferência - Liquidação,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$32,10 "," R$96,30 "
Debito,09/09/2021,Transferência - Liquidação,VIIA3 - VIA VAREJO S.A.,NU INVEST CORRETORA DE VALORES S.A.,7," R$9,57 "," R$66,99 "
Credito,08/09/2021,Juros Sobre Capital Próprio,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,07 "
Debito,03/09/2021,Transferência,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1, - , -
Credito,03/09/2021,Transferência,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1, - , -
Credito,03/09/2021,Transferência,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Debito,03/09/2021,Transferência,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,03/09/2021,Transferência,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Debito,03/09/2021,Transferência,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,03/09/2021,Transferência,BOVA11 - ISHARES IBOVESPA FUNDO DE INDICE,NU INVEST CORRETORA DE VALORES S.A.,2, - , -
Debito,03/09/2021,Transferência,BOVA11 - ISHARES IBOVESPA FUNDO DE INDICE,NU INVEST CORRETORA DE VALORES S.A.,2, - , -
Debito,03/09/2021,Transferência,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3, - , -
Credito,03/09/2021,Transferência,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3, - , -
Debito,03/09/2021,Transferência,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,03/09/2021,Transferência,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Debito,03/09/2021,Transferência,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , -
Credito,03/09/2021,Transferência,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , -
Debito,03/09/2021,Transferência,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,03/09/2021,Transferência,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Debito,03/09/2021,Transferência,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3, - , -
Credito,03/09/2021,Transferência,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3, - , -
Credito,03/09/2021,Transferência,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,16, - , -
Debito,03/09/2021,Transferência,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,16, - , -
Credito,03/09/2021,Juros Sobre Capital Próprio,SANB4 - BANCO SANTANDER (BRASIL) S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,48 "," R$1,62 "
Credito,03/09/2021,Transferência,VIIA3 - VIA VAREJO S.A.,NU INVEST CORRETORA DE VALORES S.A.,7, - , -
Debito,03/09/2021,Transferência,VIIA3 - VIA VAREJO S.A.,NU INVEST CORRETORA DE VALORES S.A.,7, - , -
Credito,03/09/2021,Transferência,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6, - , -
Debito,03/09/2021,Transferência,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6, - , -
Credito,02/09/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,02/09/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/09/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/09/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,31/08/2021,Rendimento,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - ," R$0,01 "
Credito,31/08/2021,Juros Sobre Capital Próprio,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,35 "," R$1,18 "
Credito,26/08/2021,Dividendo,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,54 "," R$2,16 "
Credito,26/08/2021,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,35 "
Credito,26/08/2021,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,06 "," R$0,19 "
Credito,26/08/2021,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Credito,26/08/2021,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Credito,25/08/2021,Rendimento - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Debito,25/08/2021,Rendimento - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,25/08/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,35 "," R$1,18 "
Debito,25/08/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,35 "," R$1,18 "
Debito,25/08/2021,Transferência - Liquidação,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$39,20 "," R$156,80 "
Credito,18/08/2021,Dividendo - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,54 "," R$2,16 "
Debito,18/08/2021,Dividendo - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,54 "," R$2,16 "
Credito,17/08/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,15 "," R$1,15 "
Credito,17/08/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,35 "
Debito,17/08/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,35 "
Credito,17/08/2021,Atualização,VIIA3 - VIA VAREJO S.A.,NU INVEST CORRETORA DE VALORES S.A.,7, - , -
Credito,11/08/2021,Juros Sobre Capital Próprio,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6," R$0,02 "," R$0,11 "
Credito,11/08/2021,Juros Sobre Capital Próprio,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,09 "
Credito,11/08/2021,Dividendo,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6," R$0,16 "," R$0,94 "
Debito,05/08/2021,Direitos de Subscrição - Não Exercido,IRDM12 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,0, - , -
Credito,04/08/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,04/08/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/08/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,03/08/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/08/2021,Dividendo - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6," R$0,16 "," R$0,94 "
Debito,03/08/2021,Dividendo - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6," R$0,16 "," R$0,94 "
Credito,02/08/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,02/08/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,30/07/2021,Juros Sobre Capital Próprio,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,30 "," R$0,25 "
Credito,30/07/2021,Dividendo,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,03 "," R$0,02 "
Credito,20/07/2021,Direito de Subscrição,IRDM12 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,0, - , -
Credito,19/07/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,97 "," R$0,97 "
