mês/ano,IGPM,IPCA,Diferença
dez/22,5.45,5.79,-0.33
nov/22,5.90,5.90,0.00
out/22,6.52,6.47,0.05
set/22,8.25,7.17,1.08
ago/22,8.59,8.73,-0.14
jul/22,10.08,10.07,0.01
jun/22,10.70,11.89,-1.19
mai/22,10.72,11.73,-1.01
abr/22,14.66,12.13,2.53
mar/22,14.77,11.30,3.47
fev/22,16.12,10.54,5.58
jan/22,16.91,10.38,6.53
dez/21,17.78,10.06,7.72
nov/21,17.89,10.74,7.15
out/21,21.73,10.67,11.05
set/21,24.86,10.25,14.61
ago/21,31.12,9.68,21.44
jul/21,33.83,8.99,24.83
jun/21,35.75,8.35,27.40
mai/21,37.04,8.06,28.98
abr/21,32.02,6.76,25.26
mar/21,31.10,6.10,25.00
fev/21,28.94,5.20,23.74
jan/21,25.71,4.56,21.15
dez/20,23.14,4.52,18.62
nov/20,24.52,4.31,20.21
out/20,20.93,3.92,17.01
set/20,17.94,3.14,14.80
ago/20,13.02,2.44,10.59
jul/20,9.27,2.31,6.97
jun/20,7.31,2.13,5.18
mai/20,6.51,1.88,4.63
abr/20,6.68,2.40,4.29
mar/20,6.81,3.30,3.50
fev/20,6.82,4.01,2.81
jan/20,7.81,4.19,3.62
dez/19,7.30,4.31,3.00
nov/19,3.97,3.27,0.70
out/19,3.15,2.54,0.62
set/19,3.37,2.89,0.47
ago/19,4.95,3.43,1.52
jul/19,6.39,3.22,3.17
jun/19,6.51,3.37,3.14
mai/19,7.64,4.66,2.98
abr/19,8.64,4.94,3.70
mar/19,8.27,4.58,3.69
fev/19,7.60,3.89,3.71
jan/19,6.74,3.78,2.96
dez/18,7.54,3.75,3.79
nov/18,9.68,4.05,5.63
out/18,10.79,4.56,6.24
set/18,10.04,4.53,5.51
ago/18,8.89,4.19,4.70
jul/18,8.24,4.48,3.75
jun/18,6.92,4.39,2.53
mai/18,4.26,2.86,1.41
abr/18,1.89,2.76,-0.88
mar/18,0.20,2.68,-2.48
fev/18,-0.42,2.84,-3.26
jan/18,-0.41,2.86,-3.26
dez/17,-0.52,2.95,-3.47
nov/17,-0.86,2.80,-3.67
out/17,-1.41,2.70,-4.11
set/17,-1.45,2.54,-3.98
ago/17,-1.71,2.46,-4.17
jul/17,-1.66,2.71,-4.37
jun/17,-0.78,3.00,-3.78
mai/17,1.57,3.60,-2.02
abr/17,3.37,4.08,-0.72
mar/17,4.86,4.57,0.28
fev/17,5.38,4.76,0.62
jan/17,6.65,5.35,1.29
dez/16,7.17,6.29,0.88
nov/16,7.12,6.99,0.13
out/16,8.78,7.87,0.90
set/16,10.66,8.48,2.19
ago/16,11.49,8.97,2.51
jul/16,11.63,8.74,2.90
jun/16,12.21,8.84,3.36
mai/16,11.09,9.32,1.76
abr/16,10.63,9.28,1.35
mar/16,11.56,9.39,2.17
fev/16,12.08,10.36,1.72
jan/16,10.95,10.71,0.24
dez/15,10.54,10.67,-0.13
nov/15,10.69,10.48,0.21
out/15,10.09,9.93,0.16
set/15,8.35,9.49,-1.14
ago/15,7.55,9.53,-1.97
jul/15,6.97,9.56,-2.59
jun/15,5.59,8.89,-3.30
mai/15,4.11,8.47,-4.36
abr/15,3.55,8.17,-4.62
mar/15,3.16,8.13,-4.97
fev/15,3.86,7.70,-3.84
jan/15,3.98,7.14,-3.16
dez/14,3.69,6.41,-2.72
nov/14,3.66,6.56,-2.89
out/14,2.96,6.59,-3.63
set/14,3.54,6.75,-3.20
ago/14,4.89,6.51,-1.63
jul/14,5.32,6.50,-1.18
jun/14,6.24,6.52,-0.28
mai/14,7.84,6.37,1.46
abr/14,7.98,6.28,1.71
mar/14,7.30,6.15,1.15
fev/14,5.76,5.68,0.08
jan/14,5.66,5.59,0.08
dez/13,5.51,5.91,-0.40
nov/13,5.60,5.77,-0.18
out/13,5.27,5.84,-0.57
set/13,4.40,5.86,-1.46
ago/13,3.85,6.09,-2.24
jul/13,5.18,6.27,-1.09
jun/13,6.31,6.70,-0.39
mai/13,6.22,6.50,-0.29
abr/13,7.30,6.49,0.80
mar/13,8.06,6.59,1.47
fev/13,8.29,6.31,1.98
jan/13,7.91,6.15,1.76
dez/12,7.82,5.84,1.98
nov/12,6.96,5.53,1.43
out/12,7.52,5.45,2.07
set/12,8.07,5.28,2.78
ago/12,7.72,5.24,2.48
jul/12,6.67,5.20,1.48
jun/12,5.14,4.92,0.23
mai/12,4.26,4.99,-0.73
abr/12,3.65,5.10,-1.45
mar/12,3.23,5.24,-2.01
fev/12,3.43,5.85,-2.42
jan/12,4.53,6.22,-1.69
dez/11,5.10,6.50,-1.41
nov/11,5.95,6.64,-0.69
out/11,6.95,6.97,-0.02
set/11,7.46,7.31,0.15
ago/11,8.00,7.23,0.78
jul/11,8.36,6.87,1.48
jun/11,8.65,6.71,1.94
mai/11,9.77,6.55,3.22
abr/11,10.60,6.51,4.09
mar/11,10.95,6.30,4.65
fev/11,11.30,6.01,5.29
jan/11,11.50,5.99,5.51
dez/10,11.32,5.91,5.41
nov/10,10.27,5.63,4.64
out/10,8.81,5.20,3.62
set/10,7.77,4.70,3.07
ago/10,6.99,4.49,2.51
jul/10,5.79,4.60,1.19
jun/10,5.17,4.84,0.33
mai/10,4.18,5.22,-1.04
abr/10,2.88,5.26,-2.38
mar/10,1.94,5.17,-3.22
fev/10,0.24,4.83,-4.59
jan/10,-0.67,4.59,-5.26
dez/09,-1.72,4.31,-6.03
nov/09,-1.59,4.22,-5.81
out/09,-1.31,4.17,-5.48
set/09,-0.40,4.34,-4.74
ago/09,-0.71,4.36,-5.07
jul/09,-0.67,4.50,-5.17
jun/09,1.52,4.80,-3.28
mai/09,3.64,5.20,-1.56
abr/09,5.38,5.53,-0.15
mar/09,6.27,5.61,0.67
fev/09,7.86,5.90,1.96
jan/09,8.15,5.84,2.31
dez/08,9.81,5.90,3.90
nov/08,11.88,6.39,5.49
out/08,12.23,6.41,5.82
set/08,12.31,6.25,6.06
ago/08,13.63,6.17,7.47
jul/08,15.12,6.37,8.76
jun/08,13.44,6.06,7.38
mai/08,11.53,5.58,5.95
abr/08,9.81,5.04,4.77
mar/08,9.10,4.73,4.37
fev/08,8.67,4.61,4.05
jan/08,8.38,4.56,3.82
dez/07,7.75,4.46,3.30
nov/07,6.23,4.19,2.04
out/07,6.29,4.12,2.17
set/07,5.67,4.15,1.53
ago/07,4.63,4.18,0.46
jul/07,4.00,3.74,0.26
jun/07,3.89,3.69,0.20
mai/07,4.40,3.18,1.22
abr/07,4.75,3.00,1.75
mar/07,4.26,2.96,1.31
fev/07,3.67,3.02,0.65
jan/07,3.40,2.99,0.42
dez/06,3.83,3.14,0.69
nov/06,3.50,3.02,0.48
out/06,3.13,3.26,-0.13
set/06,3.28,3.70,-0.42
ago/06,2.43,3.84,-1.41
jul/06,1.39,3.97,-2.58
jun/06,0.86,4.03,-3.16
mai/06,-0.33,4.23,-4.56
abr/06,-0.92,4.63,-5.55
mar/06,0.36,5.32,-4.96
fev/06,1.45,5.51,-4.06
jan/06,1.74,5.70,-3.96
dez/05,1.21,5.69,-4.48
nov/05,1.96,6.22,-4.25
out/05,2.38,6.36,-3.98
set/05,2.17,6.04,-3.87
ago/05,3.43,6.02,-2.58
